school_name,dbn,num_testtakers,num_offered,pct_8th_graders_offered,pct_black_hispanic,SED Code,District,Latitude,Longitude,Address (Full),City,Zip,Grades,Grade Low,Grade High,Community School?,Economic Need Index,School Income Estimate,Percent ELL,Percent Asian,Percent Black,Percent Hispanic,Percent Black / Hispanic,Percent White,Student Attendance Rate,Percent of Students Chronically Absent,Rigorous Instruction %,Rigorous Instruction Rating,Collaborative Teachers %,Collaborative Teachers Rating,Supportive Environment %,Supportive Environment Rating,Effective School Leadership %,Effective School Leadership Rating,Strong Family-Community Ties %,Strong Family-Community Ties Rating,Trust %,Trust Rating,Student Achievement Rating,Average ELA Proficiency,Average Math Proficiency
P.S. 133 FRED R MOORE,05M133,,,,,310500010133.0,5.0,40.809663,-73.939148,"2121 5TH AVE NEW YORK, NY 10037",NEW YORK,10037.0,"PK,0K,01,02,03,04,05",PK,05,No,0.875,"$33,344.03 ",6%,4%,52%,37%,89%,5%,91%,34%,84%,Approaching Target,73%,Approaching Target,76%,Approaching Target,47%,Not Meeting Target,76%,Not Meeting Target,77%,Approaching Target,Meeting Target,2.21,2.19
P.S. 154 HARRIET TUBMAN,05M154,,,,,310500010154.0,5.0,40.810555,-73.948862,"250 W 127TH ST NEW YORK, NY 10027",NEW YORK,10027.0,"PK,0K,01,02,03,04,05",PK,05,Yes,0.899,"$28,358.99 ",15%,4%,55%,36%,90%,4%,92%,31%,91%,Approaching Target,87%,Meeting Target,93%,Meeting Target,79%,Approaching Target,82%,Approaching Target,85%,Approaching Target,Approaching Target,2.15,2.16
P.S. 175 HENRY H GARNET,05M175,,,,,310500010175.0,5.0,40.814259,-73.942662,"175 W 134TH ST NEW YORK, NY 10030",NEW YORK,10030.0,"PK,0K,01,02,03,04,05",PK,05,No,0.893,"$34,273.80 ",12%,2%,64%,30%,93%,4%,91%,39%,93%,Meeting Target,92%,Meeting Target,91%,Meeting Target,78%,Meeting Target,84%,Approaching Target,87%,Approaching Target,Approaching Target,2.14,2.26
P.S. 194 COUNTEE CULLEN,05M194,,,,,310500010194.0,5.0,40.821182,-73.940665,"244 W 144TH ST NEW YORK, NY 10030",NEW YORK,10030.0,"0K,01,02,03,04,05",0K,05,Yes,0.898,"$30,519.96 ",18%,2%,52%,40%,92%,3%,90%,47%,91%,Approaching Target,73%,Approaching Target,94%,Approaching Target,49%,Not Meeting Target,87%,Meeting Target,67%,Not Meeting Target,Approaching Target,2.0,2.02
P.S. 197 JOHN B. RUSSWURM,05M197,,,,,310500010197.0,5.0,40.813297999999996,-73.937828,"2230 5TH AVE NEW YORK, NY 10037",NEW YORK,10037.0,"PK,0K,01,02,03,04,05",PK,05,No,0.8740000000000001,"$34,797.10 ",6%,0%,62%,33%,95%,3%,88%,47%,94%,Approaching Target,92%,Approaching Target,92%,Approaching Target,92%,Exceeding Target,92%,Exceeding Target,95%,Exceeding Target,Meeting Target,2.21,2.27
P.S. 200- THE JAMES MCCUNE SMITH SCHOOL,05M200,,,,,310500010200.0,5.0,40.823955,-73.935802,"2589 7TH AVE NEW YORK, NY 10039",NEW YORK,10039.0,"PK,0K,01,02,03,04,05",PK,05,No,0.892,"$34,610.48 ",11%,0%,54%,40%,94%,2%,88%,46%,83%,Approaching Target,88%,Approaching Target,89%,Approaching Target,81%,Meeting Target,85%,Meeting Target,92%,Meeting Target,Approaching Target,2.12,2.13
KAPPA IV,05M302,,,,,310500010302.0,5.0,40.817282,-73.947238,"6 EDGECOMBE AVE NEW YORK, NY 10030",NEW YORK,10030.0,"06,07,08",06,08,No,0.852,,14%,6%,53%,39%,92%,1%,90%,35%,77%,Approaching Target,81%,Meeting Target,81%,Approaching Target,69%,Not Meeting Target,83%,Meeting Target,84%,Approaching Target,Approaching Target,2.16,1.89
THURGOOD MARSHALL ACADEMY LOWER SCHOOL,05M318,,,,,310500010318.0,5.0,40.825964,-73.937942,"276 W 151ST ST NEW YORK, NY 10027",NEW YORK,10027.0,"0K,01,02,03,04,05",0K,05,No,0.7829999999999999,"$33,466.58 ",2%,3%,79%,14%,93%,1%,91%,31%,97%,Meeting Target,91%,Meeting Target,89%,Meeting Target,84%,Meeting Target,93%,Exceeding Target,92%,Exceeding Target,Approaching Target,2.59,2.58
TEACHERS COLLEGE COMMUNITY SCHOOL,05M517,,,,,310500010517.0,5.0,40.812517,-73.95354,"168 MORNINGSIDE AVE NEW YORK, NY 10027",NEW YORK,10027.0,"0K,01,02,03,04,05",0K,05,No,0.536,"$42,375.71 ",2%,6%,39%,28%,67%,20%,95%,12%,98%,,99%,,99%,,97%,,94%,,99%,,,,
P.S. 004 DUKE ELLINGTON,06M004,,,,,310600010004.0,6.0,40.834846999999996,-73.941204,"500 W 160TH ST NEW YORK, NY 10032",NEW YORK,10032.0,"PK,0K,01,02,03,04,05",PK,05,No,0.8440000000000001,"$34,684.21 ",40%,1%,8%,91%,98%,0%,92%,33%,91%,Meeting Target,84%,Meeting Target,87%,Approaching Target,74%,Approaching Target,82%,Approaching Target,88%,Meeting Target,Approaching Target,2.24,2.33
P.S. 005 ELLEN LURIE,06M005,,,,,310600010005.0,6.0,40.85892,-73.922428,"3703 10TH AVE NEW YORK, NY 10034",NEW YORK,10034.0,"0K,01,02,03,04,05",0K,05,No,0.851,"$29,783.60 ",46%,1%,6%,92%,98%,0%,93%,26%,89%,Meeting Target,86%,Meeting Target,90%,Meeting Target,68%,Approaching Target,86%,Meeting Target,89%,Meeting Target,Approaching Target,2.11,2.28
P.S. 008 LUIS BELLIARD,06M008,,,,,310600010008.0,6.0,40.839384,-73.93678299999999,"465 W 167TH ST NEW YORK, NY 10032",NEW YORK,10032.0,"0K,01,02,03,04,05",0K,05,No,0.841,"$33,529.45 ",31%,0%,4%,96%,99%,1%,93%,20%,91%,Exceeding Target,86%,Exceeding Target,85%,Approaching Target,82%,Meeting Target,89%,Meeting Target,91%,Meeting Target,Meeting Target,2.25,2.34
P.S. 028 WRIGHT BROTHERS,06M028,,,,,310600010028.0,6.0,40.831655,-73.942079,"475 W 155TH ST NEW YORK, NY 10032",NEW YORK,10032.0,"PK,0K,01,02,03,04,05",PK,05,No,0.9009999999999999,"$37,015.04 ",32%,1%,12%,84%,95%,4%,94%,20%,96%,Exceeding Target,96%,Meeting Target,96%,Exceeding Target,87%,Meeting Target,85%,Meeting Target,95%,Meeting Target,Meeting Target,2.32,2.64
P.S. 048 P.O. MICHAEL J. BUCZEK,06M048,,,,,310600010048.0,6.0,40.853324,-73.933497,"4360-78 BROADWAY NEW YORK, NY 10033",NEW YORK,10033.0,"PK,0K,01,02,03,04,05",PK,05,No,0.8009999999999999,"$45,688.60 ",30%,1%,1%,96%,97%,2%,94%,16%,86%,Meeting Target,88%,Meeting Target,89%,Meeting Target,83%,Meeting Target,84%,Meeting Target,94%,Exceeding Target,Meeting Target,2.26,2.41
P.S. 098 SHORAC KAPPOCK,06M098,,,,,310600010098.0,6.0,40.867823,-73.91781800000001,"512 W 212TH ST NEW YORK, NY 10034",NEW YORK,10034.0,"PK,0K,01,02,03,04,05",PK,05,No,0.856,"$40,151.07 ",38%,1%,2%,94%,96%,3%,93%,26%,85%,Approaching Target,74%,Approaching Target,87%,Approaching Target,69%,Approaching Target,86%,Meeting Target,84%,Approaching Target,Approaching Target,2.15,2.3
P.S. 115 ALEXANDER HUMBOLDT,06M115,,,,,310600010115.0,6.0,40.846134,-73.935144,"586 W 177TH ST NEW YORK, NY 10033",NEW YORK,10033.0,"0K,01,02,03,04,05",0K,05,No,0.882,"$30,569.26 ",33%,0%,1%,96%,97%,2%,92%,27%,93%,Meeting Target,88%,Meeting Target,94%,Meeting Target,72%,Approaching Target,84%,Approaching Target,89%,Meeting Target,Meeting Target,2.13,2.35
P.S. 128 AUDUBON,06M128,,,,,310600010128.0,6.0,40.841046999999996,-73.938751,"560 W 169TH ST NEW YORK, NY 10032",NEW YORK,10032.0,"PK,0K,01,02,03,04,05",PK,05,No,0.8170000000000001,"$34,767.56 ",28%,1%,3%,95%,98%,1%,91%,29%,92%,Meeting Target,93%,Exceeding Target,94%,Meeting Target,89%,Exceeding Target,89%,Meeting Target,94%,Meeting Target,Approaching Target,2.2,2.39
P.S. 132 JUAN PABLO DUARTE,06M132,,,,,310600010132.0,6.0,40.850543,-73.933933,"185 WADSWORTH AVE NEW YORK, NY 10033",NEW YORK,10033.0,"0K,01,02,03,04,05",0K,05,Yes,0.857,"$35,210.09 ",46%,0%,1%,98%,99%,1%,95%,14%,87%,Approaching Target,80%,Approaching Target,90%,Meeting Target,72%,Approaching Target,85%,Meeting Target,84%,Approaching Target,Meeting Target,2.22,2.25
P.S. 152 DYCKMAN VALLEY,06M152,,,,,310600010152.0,6.0,40.860052,-73.927601,"93 NAGLE AVE NEW YORK, NY 10040",NEW YORK,10040.0,"PK,0K,01,02,03,04,05",PK,05,No,0.8690000000000001,"$39,043.45 ",29%,0%,2%,96%,98%,1%,94%,22%,91%,Meeting Target,87%,Meeting Target,89%,Meeting Target,79%,Meeting Target,84%,Meeting Target,88%,Meeting Target,Meeting Target,2.25,2.46
P.S. 153 ADAM CLAYTON POWELL,06M153,,,,,310600010153.0,6.0,40.826477000000004,-73.947458,"1750 AMSTERDAM AVE NEW YORK, NY 10031",NEW YORK,10031.0,"PK,0K,01,02,03,04,05",PK,05,No,0.8340000000000001,"$37,102.07 ",29%,2%,20%,74%,94%,3%,93%,26%,96%,Exceeding Target,86%,Exceeding Target,95%,Meeting Target,82%,Meeting Target,87%,Meeting Target,86%,Approaching Target,Meeting Target,2.34,2.54
P.S. 173,06M173,,,,,310600010173.0,6.0,40.845620000000004,-73.939738,"306 FT WASHINGTON AVE NEW YORK, NY 10033",NEW YORK,10033.0,"PK,0K,01,02,03,04,05",PK,05,No,0.75,"$39,010.66 ",16%,3%,3%,92%,94%,3%,93%,24%,90%,Meeting Target,76%,Meeting Target,87%,Approaching Target,64%,Not Meeting Target,77%,Not Meeting Target,80%,Approaching Target,Meeting Target,2.36,2.67
PROFESSOR JUAN BOSCH PUBLIC SCHOOL,06M178,,,,,310600010178.0,6.0,40.859317,-73.928232,"12-18 ELLWOOD ST NEW YORK, NY 10040",NEW YORK,10040.0,"0K,01,02",0K,02,No,0.721,"$46,192.82 ",14%,1%,2%,84%,86%,12%,95%,11%,96%,Exceeding Target,97%,Exceeding Target,95%,Exceeding Target,92%,Exceeding Target,92%,Exceeding Target,99%,Exceeding Target,,2.69,2.86
P.S. 189,06M189,,,,,310600010189.0,6.0,40.853091,-73.927999,"2580 AMSTERDAM AVE NEW YORK, NY 10040",NEW YORK,10040.0,"PK,0K,01,02,03,04,05",PK,05,No,0.872,"$36,511.02 ",29%,0%,1%,96%,97%,2%,94%,18%,90%,Meeting Target,86%,Meeting Target,91%,Meeting Target,80%,Meeting Target,85%,Meeting Target,89%,Meeting Target,Meeting Target,2.3,2.48
P.S. 192 JACOB H. SCHIFF,06M192,,,,,310600010192.0,6.0,40.820988,-73.952995,"500 W 138TH ST NEW YORK, NY 10031",NEW YORK,10031.0,"PK,0K,01,02,03,04,05",PK,05,No,0.8290000000000001,"$41,056.33 ",25%,0%,7%,92%,98%,1%,92%,26%,92%,Approaching Target,83%,Approaching Target,93%,Meeting Target,69%,Approaching Target,88%,Meeting Target,82%,Approaching Target,Approaching Target,2.2,2.35
I.S. 218 SALOME URENA,06M218,,,,,310600010218.0,6.0,40.860820000000004,-73.930066,"4600 BROADWAY NEW YORK, NY 10040",NEW YORK,10040.0,"06,07,08",06,08,No,0.84,,49%,0%,2%,93%,96%,3%,92%,24%,91%,Approaching Target,81%,Meeting Target,90%,Meeting Target,75%,Approaching Target,84%,Meeting Target,89%,Meeting Target,Approaching Target,2.09,2.09
MUSCOTA,06M314,,,,,310600010314.0,6.0,40.866521999999996,-73.92381800000001,"4862 BROADWAY NEW YORK, NY 10034",NEW YORK,10034.0,"0K,01,02,03,04,05",0K,05,No,0.429,"$52,781.49 ",4%,4%,3%,46%,49%,42%,95%,7%,99%,Meeting Target,96%,Meeting Target,97%,Exceeding Target,95%,Exceeding Target,96%,Exceeding Target,96%,Exceeding Target,Exceeding Target,2.98,3.04
P.S. 325,06M325,,,,,310600010325.0,6.0,40.820988,-73.952995,"500 W 138TH ST NEW YORK, NY 10031",NEW YORK,10031.0,"0K,01,02,03,04,05",0K,05,No,0.8640000000000001,"$40,828.12 ",32%,0%,5%,91%,96%,4%,93%,27%,88%,Approaching Target,88%,Meeting Target,93%,Meeting Target,78%,Meeting Target,83%,Approaching Target,91%,Meeting Target,Approaching Target,2.14,2.19
HAMILTON HEIGHTS SCHOOL,06M368,,,,,310600010368.0,6.0,40.826477000000004,-73.947458,"1750 AMSTERDAM AVE NEW YORK, NY 10031",NEW YORK,10031.0,"0K,01,02,03,04,05",0K,05,No,0.7559999999999999,"$38,325.28 ",16%,5%,19%,58%,77%,15%,92%,27%,95%,Approaching Target,93%,Meeting Target,85%,Approaching Target,88%,Meeting Target,93%,Exceeding Target,92%,Meeting Target,Approaching Target,2.22,2.38
CASTLE BRIDGE SCHOOL,06M513,,,,,310600010513.0,6.0,40.841046999999996,-73.938751,"560 W 169TH ST NEW YORK, NY 10032",NEW YORK,10032.0,"0K,01,02,03,04,05",0K,05,No,0.615,"$44,717.99 ",16%,2%,11%,64%,75%,21%,95%,10%,95%,,99%,,96%,,97%,,94%,,97%,,,,
P.S. 001 COURTLANDT SCHOOL,07X001,,,,,320700010001.0,7.0,40.819101,-73.91941,"335 E 152ND ST BRONX, NY 10451",BRONX,10451.0,"PK,0K,01,02,03,04,05",PK,05,No,0.915,"$23,144.32 ",25%,0%,23%,74%,97%,2%,92%,33%,90%,Meeting Target,89%,Meeting Target,90%,Meeting Target,78%,Approaching Target,83%,Meeting Target,91%,Meeting Target,Approaching Target,2.19,2.23
P.S. 018 JOHN PETER ZENGER,07X018,,,,,320700010018.0,7.0,40.816249,-73.922585,"502 MORRIS AVE BRONX, NY 10451",BRONX,10451.0,"PK,0K,01,02,03,04,05",PK,05,No,0.914,"$22,635.63 ",26%,2%,29%,64%,94%,3%,92%,29%,88%,Meeting Target,90%,Meeting Target,90%,Meeting Target,82%,Meeting Target,83%,Meeting Target,93%,Meeting Target,Meeting Target,2.17,2.39
P.S. 025 BILINGUAL SCHOOL,07X025,,,,,320700010025.0,7.0,40.812853999999994,-73.905725,"811 E 149TH ST BRONX, NY 10455",BRONX,10455.0,"PK,0K,01,02,03,04,05,SE",PK,05,No,0.863,"$26,194.38 ",14%,1%,11%,87%,97%,1%,93%,23%,93%,Meeting Target,89%,Meeting Target,91%,Meeting Target,80%,Meeting Target,82%,Approaching Target,90%,Meeting Target,Meeting Target,2.37,2.42
P.S. 030 WILTON,07X030,,,,,320700010030.0,7.0,40.809065000000004,-73.91752,"510 E 141ST ST BRONX, NY 10454",BRONX,10454.0,"PK,0K,01,02,03,04,05",PK,05,No,0.9229999999999999,"$22,281.39 ",17%,2%,21%,75%,96%,2%,90%,40%,87%,Approaching Target,90%,Meeting Target,91%,Meeting Target,84%,Meeting Target,90%,Exceeding Target,91%,Meeting Target,Approaching Target,2.09,2.15
P.S. 043 JONAS BRONCK,07X043,,,,,320700010043.0,7.0,40.806419,-73.921424,"165 BROWN PL BRONX, NY 10454",BRONX,10454.0,"PK,0K,01,02,03,04,05",PK,05,No,0.91,"$20,902.40 ",9%,0%,27%,71%,98%,1%,91%,33%,89%,Approaching Target,95%,Meeting Target,90%,Meeting Target,84%,Meeting Target,86%,Meeting Target,96%,Exceeding Target,Exceeding Target,2.29,2.46
P.S. 049 WILLIS AVENUE,07X049,,,,,320700010049.0,7.0,40.810342,-73.922626,"383 E 139TH ST BRONX, NY 10454",BRONX,10454.0,"PK,0K,01,02,03,04,05",PK,05,No,0.924,"$22,392.38 ",16%,0%,29%,68%,98%,1%,92%,30%,87%,Approaching Target,83%,Meeting Target,81%,Approaching Target,74%,Approaching Target,83%,Approaching Target,85%,Meeting Target,Meeting Target,2.19,2.45
P.S. 065 MOTHER HALE ACADEMY,07X065,,,,,320700010065.0,7.0,40.807731,-73.912768,"677 E 141ST ST BRONX, NY 10454",BRONX,10454.0,"PK,0K,01,02,03,04,05",PK,05,No,0.9570000000000001,"$22,507.91 ",12%,3%,32%,64%,96%,1%,89%,48%,92%,Meeting Target,88%,Meeting Target,88%,Approaching Target,82%,Meeting Target,84%,Approaching Target,91%,Meeting Target,Approaching Target,2.06,2.12
P.S. 154 JONATHAN D. HYATT,07X154,,,,,320700010154.0,7.0,40.808254999999996,-73.925748,"333 E 135TH ST BRONX, NY 10454",BRONX,10454.0,"PK,0K,01,02,03,04,05",PK,05,Yes,0.912,"$18,984.33 ",10%,0%,40%,57%,97%,1%,93%,25%,93%,Meeting Target,95%,Meeting Target,92%,Exceeding Target,91%,Exceeding Target,84%,Meeting Target,96%,Exceeding Target,Meeting Target,2.29,2.33
P.S. 157 GROVE HILL,07X157,,,,,320700010157.0,7.0,40.819262,-73.909065,"757 CAULDWELL AVE BRONX, NY 10456",BRONX,10456.0,"PK,0K,01,02,03,04,05",PK,05,No,0.879,"$26,508.27 ",9%,0%,30%,69%,99%,0%,90%,41%,92%,Exceeding Target,91%,Exceeding Target,93%,Meeting Target,80%,Meeting Target,82%,Approaching Target,92%,Meeting Target,Meeting Target,2.32,2.41
P.S. 161 JUAN PONCE DE LEON SCHOOL,07X161,,,,,320700010161.0,7.0,40.814507,-73.905159,"628 TINTON AVE BRONX, NY 10455",BRONX,10455.0,"PK,0K,01,02,03,04,05",PK,05,No,0.9059999999999999,"$25,153.14 ",19%,1%,23%,73%,96%,2%,91%,37%,90%,Approaching Target,87%,Meeting Target,91%,Meeting Target,71%,Approaching Target,79%,Approaching Target,86%,Meeting Target,Meeting Target,2.33,2.48
J.H.S. 162 LOLA RODRIGUEZ DE TIO,07X162,,,,,320700010162.0,7.0,40.814702000000004,-73.912036,"600 ST ANNS AVE BRONX, NY 10455",BRONX,10455.0,"06,07,08",06,08,Yes,0.9059999999999999,,24%,1%,29%,70%,99%,1%,89%,39%,92%,Meeting Target,93%,Meeting Target,85%,Meeting Target,88%,Meeting Target,82%,Meeting Target,93%,Meeting Target,Approaching Target,2.04,1.96
P.S. 179,07X179,,,,,320700010179.0,7.0,40.809216,-73.92003199999999,"468 E 140TH ST BRONX, NY 10454",BRONX,10454.0,"PK,0K,01,02,03,04,05",PK,05,No,0.899,"$23,737.32 ",30%,1%,15%,83%,98%,0%,92%,33%,94%,Meeting Target,92%,Meeting Target,90%,Meeting Target,83%,Meeting Target,85%,Meeting Target,96%,Exceeding Target,Meeting Target,2.31,2.35
P.S. 277,07X277,,,,,320700010277.0,7.0,40.813307,-73.913837,"519 ST ANNS AVE BRONX, NY 10454",BRONX,10454.0,"PK,0K,01,02,03,04,05",PK,05,No,0.9279999999999999,"$22,649.64 ",16%,0%,23%,74%,97%,1%,93%,22%,90%,Meeting Target,90%,Exceeding Target,89%,Exceeding Target,84%,Meeting Target,87%,Meeting Target,93%,Exceeding Target,Meeting Target,2.28,2.64
CONCOURSE VILLAGE ELEMENTARY SCHOOL,07X359,,,,,320700010359.0,7.0,40.823009000000006,-73.92284000000001,"750 CONCOURSE VILLAGE W BRONX, NY 10451",BRONX,10451.0,"PK,0K,01,02,03,04,05",PK,05,No,0.897,"$28,756.98 ",23%,0%,33%,62%,95%,3%,92%,32%,100%,,100%,,99%,,98%,,91%,,99%,,,,
YOUNG LEADERS ELEMENTARY SCHOOL,07X369,,,,,320700010369.0,7.0,40.809216,-73.92003199999999,"468 E 140TH ST BRONX, NY 10454",BRONX,10454.0,"PK,0K,01,02,03,04,05",PK,05,No,0.9229999999999999,"$23,020.70 ",47%,0%,18%,81%,99%,1%,92%,30%,75%,Not Meeting Target,86%,Meeting Target,83%,Approaching Target,81%,Meeting Target,88%,Meeting Target,90%,Meeting Target,Approaching Target,1.97,2.04
P.S. X014 SENATOR JOHN CALANDRA,08X014,,,,,320800010014.0,8.0,40.835535,-73.825861,"3041 BRUCKNER BLVD BRONX, NY 10461",BRONX,10461.0,"0K,01,02,03,04,05",0K,05,No,0.498,"$66,619.65 ",5%,4%,6%,65%,71%,24%,93%,22%,94%,Meeting Target,96%,Exceeding Target,98%,Exceeding Target,91%,Exceeding Target,84%,Meeting Target,97%,Exceeding Target,Meeting Target,2.61,2.8
P.S. 036 UNIONPORT,08X036,,,,,320800010036.0,8.0,40.829446000000004,-73.849749,"1070 CASTLE HILL AVE BRONX, NY 10472",BRONX,10472.0,"PK,0K,01,02,03,04,05",PK,05,No,0.779,"$39,933.44 ",16%,19%,11%,64%,76%,3%,93%,24%,94%,Meeting Target,95%,Meeting Target,96%,Meeting Target,86%,Meeting Target,87%,Meeting Target,96%,Exceeding Target,Exceeding Target,2.6,2.73
P.S. 048 JOSEPH R. DRAKE,08X048,,,,,320800010048.0,8.0,40.814228,-73.886889,"1290 SPOFFORD AVE BRONX, NY 10474",BRONX,10474.0,"PK,0K,01,02,03,04,05",PK,05,No,0.922,"$27,859.91 ",18%,1%,26%,71%,97%,1%,92%,31%,88%,Meeting Target,84%,Meeting Target,86%,Meeting Target,68%,Approaching Target,77%,Not Meeting Target,84%,Approaching Target,Meeting Target,2.1,2.18
P.S. 062 INOCENSIO CASANOVA,08X062,,,,,320800010062.0,8.0,40.813875,-73.90019000000001,"660 FOX ST BRONX, NY 10455",BRONX,10455.0,"PK,0K,01,02,03,04,05",PK,05,No,0.8959999999999999,"$23,837.79 ",11%,0%,20%,77%,96%,3%,91%,35%,89%,Meeting Target,94%,Exceeding Target,92%,Meeting Target,86%,Meeting Target,85%,Meeting Target,95%,Meeting Target,Meeting Target,2.15,2.35
P.S. 069 JOURNEY PREP SCHOOL,08X069,,,,,320800010069.0,8.0,40.816837,-73.860541,"560 THERIOT AVE BRONX, NY 10473",BRONX,10473.0,"PK,0K,01,02,03,04,05",PK,05,No,0.7509999999999999,"$47,598.42 ",8%,2%,16%,80%,96%,1%,93%,22%,94%,Exceeding Target,86%,Exceeding Target,92%,Meeting Target,79%,Meeting Target,81%,Approaching Target,88%,Meeting Target,Exceeding Target,2.72,3.02
P.S. 072 DR. WILLIAM DORNEY,08X072,,,,,320800010072.0,8.0,40.823158,-73.818136,"2951 DEWEY AVE BRONX, NY 10465",BRONX,10465.0,"PK,0K,01,02,03,04,05,SE",PK,05,No,0.7609999999999999,"$46,642.64 ",5%,3%,19%,72%,92%,5%,91%,35%,91%,Meeting Target,87%,Exceeding Target,89%,Meeting Target,79%,Meeting Target,83%,Meeting Target,91%,Meeting Target,Meeting Target,2.33,2.44
P.S. 75 SCHOOL OF RESEARCH AND DISCOVERY,08X075,,,,,320800010075.0,8.0,40.82229,-73.88896,"984 FAILE ST BRONX, NY 10459",BRONX,10459.0,"PK,0K,01,02,03,04,05",PK,05,No,0.922,"$23,987.16 ",13%,1%,26%,71%,97%,1%,91%,36%,93%,Exceeding Target,92%,Meeting Target,91%,Meeting Target,83%,Meeting Target,80%,Approaching Target,93%,Meeting Target,Meeting Target,2.24,2.34
P.S. 093 ALBERT G. OLIVER,08X093,,,,,320800010093.0,8.0,40.822513,-73.877255,"1535 STORY AVE BRONX, NY 10473",BRONX,10473.0,"PK,0K,01,02,03,04,05",PK,05,No,0.667,"$42,885.01 ",9%,0%,57%,40%,97%,2%,93%,28%,96%,Meeting Target,95%,Meeting Target,95%,Exceeding Target,87%,Meeting Target,93%,Exceeding Target,96%,Exceeding Target,Approaching Target,2.26,2.32
P.S. 100 ISAAC CLASON,08X100,,,,,320800010100.0,8.0,40.821909999999995,-73.862615,"800 TAYLOR AVE BRONX, NY 10473",BRONX,10473.0,"PK,0K,01,02,03,04,05",PK,05,No,0.86,"$27,710.67 ",5%,1%,33%,64%,97%,1%,92%,31%,94%,Meeting Target,95%,Meeting Target,91%,Meeting Target,91%,Exceeding Target,82%,Approaching Target,95%,Meeting Target,Meeting Target,2.32,2.34
P.S. 107,08X107,,,,,320800010107.0,8.0,40.818887,-73.86860899999999,"1695 SEWARD AVE BRONX, NY 10473",BRONX,10473.0,"PK,0K,01,02,03,04,05",PK,05,No,0.9129999999999999,"$27,853.77 ",9%,1%,32%,64%,96%,3%,90%,43%,95%,Meeting Target,93%,Meeting Target,92%,Meeting Target,84%,Meeting Target,83%,Approaching Target,92%,Meeting Target,Meeting Target,2.21,2.24
THE DR. EMMETT W. BASSETT SCHOOL,08X119,,,,,320800010119.0,8.0,40.828493,-73.856571,"1075 PUGSLEY AVE BRONX, NY 10472",BRONX,10472.0,"PK,0K,01,02,03,04,05",PK,05,No,0.8,"$39,485.31 ",25%,31%,9%,51%,60%,7%,94%,21%,84%,Approaching Target,89%,Meeting Target,92%,Meeting Target,83%,Meeting Target,86%,Meeting Target,94%,Exceeding Target,Meeting Target,2.41,2.68
P.S. 130 ABRAM STEVENS HEWITT,08X130,,,,,320800010130.0,8.0,40.817778000000004,-73.901831,"750 PROSPECT AVE BRONX, NY 10455",BRONX,10455.0,"PK,0K,01,02,03,04,05",PK,05,No,0.872,"$24,977.29 ",23%,2%,23%,73%,96%,2%,92%,27%,95%,Meeting Target,92%,Meeting Target,93%,Meeting Target,85%,Meeting Target,86%,Meeting Target,95%,Exceeding Target,Meeting Target,2.07,2.22
P.S. 138 SAMUEL RANDALL,08X138,,,,,320800010138.0,8.0,40.822373999999996,-73.85283100000001,"2060 LAFAYETTE AVE BRONX, NY 10473",BRONX,10473.0,"PK,0K,01,02,03,04,05",PK,05,No,0.851,"$35,635.81 ",4%,2%,26%,70%,95%,1%,89%,42%,94%,Approaching Target,97%,Exceeding Target,92%,Approaching Target,86%,Meeting Target,81%,Approaching Target,95%,Meeting Target,Approaching Target,2.32,2.39
P.S. X140 THE EAGLE SCHOOL,08X140,,,,,320800010140.0,8.0,40.823374,-73.90737800000001,"916 EAGLE AVE BRONX, NY 10456",BRONX,10456.0,"PK,0K,01,02,03,04,05",PK,05,No,0.875,"$26,763.23 ",11%,0%,35%,61%,96%,2%,90%,40%,88%,Approaching Target,82%,Meeting Target,87%,Approaching Target,76%,Approaching Target,84%,Meeting Target,88%,Meeting Target,Meeting Target,2.16,2.36
P.S. 146 EDWARD COLLINS,08X146,,,,,320800010146.0,8.0,40.825125,-73.90592,"968 CAULDWELL AVE BRONX, NY 10456",BRONX,10456.0,"PK,0K,01,02,03,04,05",PK,05,No,0.9109999999999999,"$25,203.54 ",13%,1%,42%,55%,97%,0%,91%,36%,95%,Meeting Target,90%,Meeting Target,92%,Meeting Target,82%,Meeting Target,83%,Approaching Target,89%,Meeting Target,Approaching Target,2.25,2.27
P.S. 152 EVERGREEN,08X152,,,,,320800010152.0,8.0,40.823978000000004,-73.880504,"1007 EVERGREEN AVE BRONX, NY 10472",BRONX,10472.0,"PK,0K,01,02,03,04,05,SE",PK,05,No,0.9129999999999999,"$28,256.04 ",26%,1%,18%,78%,96%,1%,91%,35%,80%,Approaching Target,83%,Meeting Target,89%,Meeting Target,73%,Approaching Target,83%,Approaching Target,85%,Approaching Target,Meeting Target,2.19,2.39
P.S. 182,08X182,,,,,320800010182.0,8.0,40.818892,-73.85698199999999,"601 STICKBALL BLVD BRONX, NY 10473",BRONX,10473.0,"PK,0K,01,02,03,04,05",PK,05,No,0.73,"$45,924.94 ",4%,8%,28%,62%,90%,2%,92%,32%,85%,Meeting Target,75%,Meeting Target,82%,Approaching Target,59%,Not Meeting Target,80%,Not Meeting Target,82%,Approaching Target,Meeting Target,2.59,2.77
